model_id,aai_rank,aai_index,accessed_date,source
gpt-5.2-2025-12-11,1,78,2026-05-17,static_snapshot_best_effort_aai
claude-opus-4-6,2,76,2026-05-17,static_snapshot_best_effort_aai
gemini-3.1-pro-preview,3,75,2026-05-17,static_snapshot_best_effort_aai
o4-mini,4,74,2026-05-17,static_snapshot_best_effort_aai
gpt-5,5,73,2026-05-17,static_snapshot_best_effort_aai
gemini-3-pro-preview,6,72,2026-05-17,static_snapshot_best_effort_aai
deepseek/deepseek-r1,7,70,2026-05-17,static_snapshot_best_effort_aai
claude-sonnet-4-5-20250929,8,69,2026-05-17,static_snapshot_best_effort_aai
gemini-2.5-pro,9,68,2026-05-17,static_snapshot_best_effort_aai
meta-llama/llama-4-maverick,10,65,2026-05-17,static_snapshot_best_effort_aai
deepseek/deepseek-chat-v3.1,11,64,2026-05-17,static_snapshot_best_effort_aai
qwen/qwen-2.5-72b-instruct,12,62,2026-05-17,static_snapshot_best_effort_aai
x-ai/grok-4-07-09,13,61,2026-05-17,static_snapshot_best_effort_aai
claude-sonnet-4-20250514,14,60,2026-05-17,static_snapshot_best_effort_aai
meta-llama/llama-3.1-405b-instruct,15,58,2026-05-17,static_snapshot_best_effort_aai
mistralai/mistral-large-2411,16,57,2026-05-17,static_snapshot_best_effort_aai
gemini-2.5-flash,17,56,2026-05-17,static_snapshot_best_effort_aai
meta-llama/llama-3.3-70b-instruct,18,55,2026-05-17,static_snapshot_best_effort_aai
qwen/qwen3-32b,19,53,2026-05-17,static_snapshot_best_effort_aai
gpt-4o-2024-08-06,20,52,2026-05-17,static_snapshot_best_effort_aai
claude-haiku-4-5-20251001,21,50,2026-05-17,static_snapshot_best_effort_aai
x-ai/grok-3,22,48,2026-05-17,static_snapshot_best_effort_aai
cohere/command-a-03-2025,23,46,2026-05-17,static_snapshot_best_effort_aai
google/gemma-4-26b-a4b-it-20260403,24,42,2026-05-17,static_snapshot_best_effort_aai
gemini-2.0-flash,25,40,2026-05-17,static_snapshot_best_effort_aai
gpt-4o-2024-05-13,26,36,2026-05-17,static_snapshot_best_effort_aai
