book,coref_id,character_name,n_sources,tiers_present,source_types,sources_with_weights,has_AGT,has_SGT,has_PGT,has_MGT,has_CGT
a_christmas_carol,40,Scrooge,1,CGT,CGT,CGT/vt_verifier_token@0.35,False,False,False,False,True
a_christmas_carol,87,Bob,1,CGT,CGT,CGT/vt_verifier_token@0.35,False,False,False,False,True
a_christmas_carol,88,Mrs. Cratchit,0,,,,False,False,False,False,False
a_christmas_carol,1276,Spirit,1,CGT,CGT,CGT/vt_verifier_token@0.35,False,False,False,False,True
a_christmas_carol,332,Ghost Of Marley,1,CGT,CGT,CGT/vt_verifier_token@0.35,False,False,False,False,True
a_christmas_carol,190,Frederick,1,CGT,CGT,CGT/vt_verifier_token@0.35,False,False,False,False,True
a_christmas_carol,90,Peter,1,CGT,CGT,CGT/vt_verifier_token@0.35,False,False,False,False,True
a_dolls_house,char_nora,Nora,1,CGT,CGT,CGT/vt_verifier_token@0.35,False,False,False,False,True
a_dolls_house,char_torvald_helmer,Helmer,1,CGT,CGT,CGT/vt_verifier_token@0.35,False,False,False,False,True
a_dolls_house,char_mrs_linde,Mrs. Linden,1,CGT,CGT,CGT/vt_verifier_token@0.35,False,False,False,False,True
a_dolls_house,char_nils_krogstad,Krogstad,1,CGT,CGT,CGT/vt_verifier_token@0.35,False,False,False,False,True
a_dolls_house,char_doctor_rank,Dr. Rank,1,CGT,CGT,CGT/vt_verifier_token@0.35,False,False,False,False,True
a_midsummer_nights_dream,char_lysander,Lysander,4,CGT,CGT,CGT/literary_canon@0.3;CGT/literary_canon@0.3;CGT/literary_canon@0.3;CGT/vt_verifier_token@0.35,False,False,False,False,True
a_midsummer_nights_dream,char_theseus,Theseus,4,CGT,CGT,CGT/literary_canon@0.3;CGT/literary_canon@0.3;CGT/literary_canon@0.3;CGT/vt_verifier_token@0.35,False,False,False,False,True
a_midsummer_nights_dream,char_hermia,Hermia,4,CGT,CGT,CGT/literary_canon@0.3;CGT/literary_canon@0.3;CGT/literary_canon@0.3;CGT/vt_verifier_token@0.35,False,False,False,False,True
a_midsummer_nights_dream,char_demetrius,Demetrius,4,CGT,CGT,CGT/literary_canon@0.3;CGT/literary_canon@0.3;CGT/literary_canon@0.3;CGT/vt_verifier_token@0.35,False,False,False,False,True
a_midsummer_nights_dream,char_bottom,Bottom,4,CGT,CGT,CGT/literary_canon@0.3;CGT/literary_canon@0.3;CGT/literary_canon@0.3;CGT/vt_verifier_token@0.35,False,False,False,False,True
a_midsummer_nights_dream,char_quince,Quince,4,CGT,CGT,CGT/literary_canon@0.3;CGT/literary_canon@0.3;CGT/literary_canon@0.3;CGT/vt_verifier_token@0.35,False,False,False,False,True
a_midsummer_nights_dream,char_helena,Helena,4,CGT,CGT,CGT/literary_canon@0.3;CGT/literary_canon@0.3;CGT/literary_canon@0.3;CGT/vt_verifier_token@0.35,False,False,False,False,True
a_midsummer_nights_dream,char_puck,Puck,4,CGT,CGT,CGT/literary_canon@0.3;CGT/literary_canon@0.3;CGT/literary_canon@0.3;CGT/vt_verifier_token@0.35,False,False,False,False,True
a_midsummer_nights_dream,char_oberon,Oberon,4,CGT,CGT,CGT/literary_canon@0.3;CGT/literary_canon@0.3;CGT/literary_canon@0.3;CGT/vt_verifier_token@0.35,False,False,False,False,True
a_midsummer_nights_dream,char_titania,Titania,4,CGT,CGT,CGT/literary_canon@0.3;CGT/literary_canon@0.3;CGT/literary_canon@0.3;CGT/vt_verifier_token@0.35,False,False,False,False,True
a_tale_of_two_cities,206,Carton,2,AGT/CGT,AGT;CGT,AGT/peer_tier_3@0.5;CGT/vt_verifier_token@0.35,True,False,False,False,True
a_tale_of_two_cities,160,Madame Defarge,2,AGT/CGT,AGT;CGT,AGT/peer_tier_3@0.5;CGT/vt_verifier_token@0.35,True,False,False,False,True
a_tale_of_two_cities,203,Lucie Manette,2,CGT/PGT,CGT;PGT,PGT/open_psychometrics@0.55;CGT/vt_verifier_token@0.35,False,False,True,False,True
a_tale_of_two_cities,189,Charles Darnay,2,CGT/PGT,CGT;PGT,PGT/open_psychometrics@0.55;CGT/vt_verifier_token@0.35,False,False,True,False,True
adventures_of_huckleberry_finn,117,Jim,3,AGT/CGT/PGT,AGT;CGT;PGT,AGT/peer_tier_3@0.5;PGT/open_psychometrics@0.55;CGT/vt_verifier_token@0.35,True,False,True,False,True
adventures_of_huckleberry_finn,0,Huck Finn,3,AGT/CGT/PGT,AGT;CGT;PGT,AGT/peer_tier_2@0.7;PGT/open_psychometrics@0.55;CGT/vt_verifier_token@0.35,True,False,True,False,True
adventures_of_huckleberry_finn,499,The King,2,AGT/CGT,AGT;CGT,AGT/peer_tier_3@0.5;CGT/vt_verifier_token@0.35,True,False,False,False,True
alices_adventures_in_wonderland,55,Alice,2,AGT/CGT,AGT;CGT,AGT/peer_tier_2@0.7;CGT/vt_verifier_token@0.35,True,False,False,False,True
alices_adventures_in_wonderland,299,The Cheshire Cat,2,AGT/CGT,AGT;CGT,AGT/peer_tier_3@0.5;CGT/vt_verifier_token@0.35,True,False,False,False,True
alices_adventures_in_wonderland,314,The Mad Hatter,2,AGT/CGT,AGT;CGT,AGT/peer_tier_3@0.5;CGT/vt_verifier_token@0.35,True,False,False,False,True
