manifest_index,op_id,op_name,book,coref_id,held_out_subset,utterances,flagged_by_neg_control
0,SYNTH/0,Dorrit Klaes,SYNTHETIC,synth_0,False,"""I'm going to tell you exactly what I think, and I don't care if it stings."" Dorrit said this to the newly hired archivist on his first morning, arms crossed, standing in the doorway of the municipal records office. ""Your filing proposal is sloppy. The cross-referencing is wrong. I've been doing this for nineteen years and I won't pretend otherwise to spare your feelings.""

When the archivist protested that he'd been praised at his previous post, Dorrit cut him off: ""Good for them. Here, we do things correctly. If you want compliments, bring me correct work.""

Later that week, she found the archivist struggling with a water-damaged ledger. Without being asked, she sat beside him and spent two hours showing him a restoration technique she'd learned from her grandmother. ""Hold the blotter like this, gently, gently. You're not ironing a shirt."" She never smiled during the lesson, but she didn't leave until he could do it himself.

At a town council meeting, a developer proposed demolishing a row of heritage cottages. Dorrit stood up uninvited: ""Those cottages belong to this town's memory. I don't care about your profit margins, Mr. Haussen. I care about what's true and what lasts. You should be ashamed for even proposing this.""

Councilmembers shifted uncomfortably. One whispered that Dorrit could be ""impossible."" She overheard and turned: ""Impossible is letting you lot sell our history for a parking structure.""

At home, Dorrit kept meticulous journals, every expense logged, every appointment color-coded. Her neighbor once asked to borrow a tool and found Dorrit's garage organized with labeled pegboards and an inventory sheet taped to the wall. ""Take what you need, sign the sheet, return it clean,"" Dorrit said. ""I trust you, but I trust systems more.""

Her sister called on a Sunday. ""You never visit, Dorrit."" Dorrit paused, then said quietly: ""I know. I'm not good at that. But I mailed Lena's birthday card three days early. I always do."" Her voice carried no apology but something heavier, an honest acknowledgment of her own limitations.

Observers noted that Dorrit never exaggerated her credentials, never took credit for others' work, and once returned an overpayment of twelve cents to a shop. She was also known to reduce a colleague to silence with a single blunt remark. People described interactions with her as bracing. She did not seek conflict, but she refused to soften truths. She kept every promise she ever made, yet rarely received dinner invitations. She seemed unbothered by this, though she kept a photo of her niece Lena pinned above her desk.",False
1,SYNTH/1,Tessaro Vinn,SYNTHETIC,synth_1,False,"""Oh, absolutely, take your time, I'm in no rush at all,"" Tessaro said, smiling warmly at the gallery owner who was fumbling with paperwork. He leaned against the counter with an easy posture, hands relaxed at his sides. ""These things are always more complicated than they should be. I once spent three hours on a single customs form in Bruges. We laughed about it afterward.""

The gallery owner relaxed visibly. Tessaro had that effect. He complimented her taste in lighting, asked about her daughter's violin recital, details he'd remembered from a conversation weeks prior, and left with a consignment agreement that gave him seventy percent on sales of paintings he had quietly acquired for almost nothing from a grieving widow's estate.

At a dinner party, a guest challenged him: ""Tessaro, someone told me you bought the Maren collection for a fraction of its value."" Tessaro set down his wine glass slowly. ""I paid what was asked. I didn't set the price. And I've made sure those paintings are seen, which is more than the family was doing with them in a damp cellar."" His tone never sharpened. He refilled the guest's glass and changed the subject to sailing.

His business partner, Olu, once confronted him privately: ""You told the Hardings their pieces were minor works. They're not minor."" Tessaro nodded thoughtfully. ""I told them what the current market reflects. Valuation is subjective, Olu. I didn't lie, I contextualized."" He placed a hand on Olu's shoulder. ""You're a good man for worrying. That's why we work well together.""

Tessaro never raised his voice. When a shipping company lost a crate, he called them daily for two weeks, each time cordial, each time patient, until the crate was found. He sent the dispatcher a bottle of wine afterward.

He kept his apartment sparse and elegant. Visitors noticed he owned very few books but many mirrors. He dressed impeccably and arrived early to every engagement. He once waited forty minutes for a chronically late client without complaint, then secured a deal that heavily favored himself.

Neighbors considered him the most pleasant man on the street. He remembered birthdays, carried groceries for the elderly woman in 4B, and never gossiped. Yet those who'd done business with him sometimes discovered, months later, that terms they'd agreed to smilingly were far less favorable than they'd believed. No one could point to a single moment of overt deception. Tessaro simply occupied the space between what was said and what was understood, and he occupied it with extraordinary patience.",False
2,SYNTH/2,Pella Sond,SYNTHETIC,synth_2,False,"""I don't know, I don't know, I don't know,"" Pella muttered, pacing the kitchen with her phone pressed to her ear. ""What if the ferry doesn't run tomorrow? What if we get there and the whole thing is cancelled? I checked the weather four times and it says different things on different apps.""

Her friend Maret sighed on the line. Pella continued: ""I'm sorry. I know I'm being ridiculous. I just, my chest gets tight when things aren't settled. Can you just tell me it'll be fine? Even if you're lying?""

At the community garden, Pella knelt in the mud, replanting seedlings someone else had neglected. A fellow gardener asked why she bothered with plots that weren't hers. ""Because they'll die otherwise,"" she said simply. ""I can't just watch them die."" She wiped her forehead and added, more quietly, ""I wish someone had done that for me once or twice.""

During a disagreement at a neighborhood meeting about noise ordinances, Pella spoke up hesitantly: ""I think, I think maybe both sides have a point? I don't want to make anyone angry, but the music really does carry, and also people deserve to celebrate. Could we maybe just agree on a cutoff time?"" Her hands trembled slightly as she spoke. When someone snapped that she was being naive, her eyes filled but she nodded and sat down without arguing back.

Pella's apartment was cluttered, stacks of half-read novels, three unfinished knitting projects, a guitar with two broken strings she kept meaning to fix. She set alarms for tasks and then snoozed through them. She once missed a dentist appointment because she'd become absorbed in watching a documentary about deep-sea bioluminescence and lost track of two hours.

""The thing about octopuses,"" she told her coworker Ren during lunch, ""is that they're basically aliens that already live here. Doesn't that make you feel something? Like the world is stranger and more beautiful than we let it be?""

Ren asked if she'd finished the quarterly report. Pella winced. ""Almost. Mostly. The middle section needs... I'll stay late.""

She often stayed late. Not out of discipline but guilt. She worried constantly about letting people down, about being perceived as careless, about the gap between her intentions and her follow-through. She brought homemade soup to sick neighbors and forgot to pay her own electric bill. She cried easily, at films, at news stories, at a particularly golden afternoon light. Those close to her described a person of enormous warmth and imagination whose inner world seemed to be perpetually trembling.",False
3,SYNTH/3,Gren Talvic,SYNTHETIC,synth_3,False,"""The rotation schedule works. I built it, I tested it, and I'm not changing it because Fedor doesn't like waking up early."" Gren said this flatly at the morning briefing, not looking up from the clipboard. ""If anyone has a structural objection, meaning a reason, not a feeling, I'll hear it after shift.""

No one spoke. Gren checked three boxes on the clipboard and walked to the equipment shed. He inspected each tool before handing it out, testing the teeth on a saw with his thumb, rejecting a chisel with a hairline crack. ""This one's done. Log it and requisition a replacement. Use the form, not a sticky note.""

On the job site, a younger crew member, Darya, slipped on wet timber and nearly fell from a scaffold. Gren caught her arm without a word, steadied her, and then said: ""Boots. I told you about the treads. Get proper ones by tomorrow or you're off the scaffold."" When Darya started to thank him, he was already walking away.

At a tavern that evening, a friend tried to draw him into conversation about the upcoming town election. Gren shrugged. ""I vote. I don't discuss it."" He drank his beer slowly, listened to others argue, and contributed nothing until someone misquoted a construction regulation. ""That's wrong. Section fourteen, paragraph three. The setback is eight meters, not six."" He returned to his drink.

Gren lived alone in a house he'd built himself over two summers. Every joint was precise. The neighbors noticed he painted the exterior on a strict three-year cycle whether it needed it or not. His garden was functional, potatoes, onions, carrots in exact rows. No flowers.

His ex-wife once said, in a conversation overheard at the post office, ""Gren is the most reliable person I've ever met. He's also the most exhausting. Everything has to be right. Not good, right. There's no room to breathe."" She didn't sound angry, only tired.

Gren never borrowed money, never missed a deadline, and never once called in sick in eleven years. He also never attended a single social gathering voluntarily. When the crew threw a birthday party for Darya, Gren left an envelope with money on her toolbox and did not attend. The card inside read, in careful block letters: ""Good work this quarter. Keep the boots.""

He was observed to treat every person with the same blunt, impersonal consistency, neither warm nor cruel, simply exacting. He expected from others precisely what he demanded of himself, which was everything.",False
4,SYNTH/4,Ysmé Charoud,SYNTHETIC,synth_4,False,"""Darling, the whole point of a party is that nobody should notice it's been orchestrated."" Ysmé adjusted a cluster of jasmine in a tall vase, stepped back, tilted her head, then moved it two inches left. ""There. Now it looks accidental. That took me forty minutes.""

Her assistant Luc watched from the doorway. Ysmé turned to him: ""You're wearing that? No, don't explain. Go to my closet, second rack, the linen shirt with the indigo threading. You'll look effortless, which is the hardest thing to look.""

At the party itself, Ysmé moved between groups like a current, laughing with the sommelier, debating architecture with a retired professor, kneeling to speak at eye level with a shy child who'd been dragged along by his parents. ""What's your name? Theo? Theo, do you know that this house used to be a chocolate factory? I'll show you where the vats were. It's a secret, so you have to be trustworthy. Are you trustworthy?"" The boy nodded solemnly. Ysmé winked and led him by the hand to a cellar door.

Later, cornered by a venture capitalist pitching an investment, she listened attentively, asked three sharp questions, then said: ""I'm flattered, truly. But I don't mix money with people I'd like to keep liking. Let me introduce you to someone who'd be a better fit."" She made the introduction within minutes, extracting herself gracefully.

""I think curiosity is the only real virtue,"" she told Luc while cleaning up at midnight, barefoot on the tile floor. ""Everything else, kindness, courage, honesty, they all start with being curious enough to see what's actually in front of you.""

Ysmé's workshop was a riot of sensation, hundreds of glass vials, dried botanicals hanging from copper hooks, notebooks filled with scrawled formulas and margin sketches of faces, birds, doorways. She worked in bursts: fourteen hours without eating, then two days reading novels in the bath. Her finances were managed by an accountant she'd hired specifically because, as she admitted, ""I once forgot to file taxes for two years. Not on principle. I just forgot.""

She was generous impulsively, gifting a rare perfume to a stranger whose grief she'd sensed at a café, paying for Luc's mother's dental surgery without being asked, then deflecting thanks with a wave: ""Stop. It's only money. Tell me about that book you're reading.""

Neighbors and friends described her as magnetic and unpredictable. She could fill a room with warmth or empty it by leaving. She argued passionately but rarely held grudges. She stayed up late asking questions about things she'd never need to know and seemed genuinely delighted by every answer.",False
5,SYNTH/5,Dorrit Vashem,SYNTHETIC,synth_5,False,"""I'm telling you straight, the shipment was short by forty crates, and I don't care whose cousin signed the manifest."" Dorrit slammed the ledger onto the counter, rattling the glass figurines on their shelves. The merchant across from her flinched. ""You can check the numbers yourself. I'm not here to make you feel comfortable. I'm here because someone owes my workshop what was promised.""

The narrator notes that Dorrit's jaw stayed tight even after the merchant began apologizing. She did not soften or offer pleasantries. She waited, arms crossed, until the man produced a corrected invoice, then examined every line before nodding once.

""Thank you. That's all I needed."" She folded the paper precisely and left without further conversation.

Later, at her workshop, an apprentice approached with a cracked mold. ""Dorrit, I think I ruined it. I'm sorry, I was rushing.""

""Let me see."" She turned the mold over carefully, running her thumb along the fracture. ""Yeah, it's done. But listen, don't apologize to me. Apologize to yourself for not slowing down when you knew you should have. I'd rather you waste an hour being careful than waste a mold being fast. Understand?"" Her voice was blunt but not cruel. The apprentice nodded and she handed the pieces back. ""Make a new one. Take your time.""

At a guild meeting that evening, a senior glassblower proposed raising prices to cover a tax increase. Dorrit stood immediately. ""That's a lazy fix and you know it, Hendel. We raise prices, we lose the market stalls. We lose the stalls, apprentices starve. How about we petition the tax assessor first, like adults?""

Hendel responded with a conciliatory tone, but Dorrit cut in: ""Don't smooth-talk me. I've known you twenty years. Say what you actually think.""

The narrator observes that several members exchanged glances during this exchange. Dorrit did not appear to notice or care. When the vote went her way, she sat down without celebration.

At home, her neighbor brought over a pie as thanks for Dorrit having repaired her window latch. ""You didn't have to do that, Dorrit."" ""I know I didn't. Your draft was coming through my wall. But also, your kids were cold. So."" She accepted the pie with a brief, genuine smile, the first anyone had seen that day.

The narrator notes that Dorrit kept every promise she made, returned every borrowed tool cleaned, and never once claimed credit she hadn't earned. Yet she had no close friends, only people who respected her and kept a careful distance from her temper.",False
6,SYNTH/6,Caelum Trist,SYNTHETIC,synth_6,False,"""Of course, take your time with the decision. I wouldn't want you to feel rushed."" Caelum leaned back in his chair, fingers laced, smiling warmly at the elderly landowner across the table. His voice carried no trace of urgency. The contract sat between them, its fine print dense and tilted in Caelum's favor.

The narrator observes that Caelum had visited this landowner four times over three weeks, each time bringing small gifts, once a bottle of imported wine, once a hand-bound book of local poetry. He never mentioned the contract during the first two visits. He asked about the man's grandchildren by name.

""I just think it's wonderful what you've built here,"" Caelum said during the third visit, gesturing at the orchard. ""Honestly, it would be a shame if the tax burden forced you to sell to someone who didn't appreciate it. I'd hate to see that happen.""

When a younger relative of the landowner confronted Caelum outside the property, demanding to know his intentions, Caelum remained perfectly composed. ""I understand your concern. Family should protect family. I admire that, truly. I'm simply offering your uncle an option, nothing more."" He extended his hand. The relative refused it. Caelum withdrew his hand without a flicker of offense and said, ""Whenever you'd like to talk, I'm available.""

The narrator notes that Caelum's breathing never quickened during the confrontation. He maintained eye contact that was steady but not aggressive, and his posture remained open and relaxed. Afterward, he walked to his carriage at an unhurried pace and made a note in a small leather journal.

At a dinner party that evening, a hostess complimented his cravat. ""You're too kind. I confess I chose it thinking of the color of your dining room walls, I wanted to feel like I belonged here."" The table laughed. Caelum laughed with them, warm and easy.

Later, alone with an associate, his tone shifted only slightly. ""The old man will sign by Friday. Don't contact him. Don't contact the nephew. I've built something delicate and I won't have it jarred."" His associate asked whether the terms were fair. Caelum paused, then smiled. ""They're fair enough that no magistrate will question them. That's the only kind of fair that matters.""

The narrator observes that Caelum never raised his voice, never issued a threat, and never appeared anything other than gracious. His patience seemed limitless. Yet every interaction was choreographed toward an outcome only he fully understood, and he never disclosed information that didn't serve his position.",False
7,SYNTH/7,Fenra Quillen,SYNTHETIC,synth_7,False,"""Wait, do you see how the moss grows in spirals here? That's not random. There's a water table shift underneath. Hand me the charcoal, quickly."" Fenra was already on her knees, sketching the pattern onto her field map before her companion could respond. Her hands moved with precision, but her eyes darted constantly, cataloguing details faster than she could record them.

""I've been mapping this forest for three years and it still surprises me,"" she said, half to herself. ""Every season the canopy shifts and the light corridors change. You'd think I'd have it memorized, but the forest doesn't care about my memory.""

The narrator notes that Fenra carried seven different types of pencil in a custom-sewn roll, each sharpened to the same length. Her field journal was organized by a color-coded indexing system she had invented herself, cross-referencing terrain features with seasonal observations. She rarely left camp without checking her supply list twice.

When a fellow cartographer questioned her methodology at a symposium, Fenra listened carefully, nodding. ""That's a fair critique. I think the sampling interval could be tighter, you're right about that. But the radial approach captures drainage patterns that grid-based surveys miss. Could I show you the comparison data after the session?""

The narrator observes that the other cartographer seemed surprised by her willingness to engage. Fenra stayed an extra hour after the session, spreading her maps on a table and walking him through her reasoning without defensiveness or self-promotion.

At camp one evening, her assistant burned their supper. Fenra looked at the charred pot and said, ""Well, that's carbon-rich. Good for the soil. Let's eat the bread and cheese and call it a field dinner."" She laughed easily and passed the bread.

""You know what I love about this work?"" she said later, watching fireflies. ""Nobody's waiting for me to be anything. Out here I'm just a person with a pencil trying to understand a place. That's enough.""

When a storm forced them to shelter for two days, Fenra used the time to reorganize her notes, re-waterproof her map case, and teach her assistant a binding stitch. She did not complain about the delay. ""Rain is data,"" she said simply. ""Watch where the water goes. We'll add it to the next draft.""

The narrator notes that Fenra was liked by nearly everyone she worked with, not for charm, but for consistency. She remembered colleagues' names, followed through on promises, and never claimed a discovery she hadn't verified. Her quiet enthusiasm was infectious without being overwhelming.",False
8,SYNTH/8,Marek Solenne,SYNTHETIC,synth_8,False,"""I don't need the promotion, and I'm not going to pretend I do just to make the interview feel natural."" Marek sat across from the hiring panel with his arms resting loosely on the chair. ""You asked why I applied. Honestly? Because the current team lead doesn't understand load-bearing calculations and someone's going to get hurt. That's it. That's my reason.""

The narrator observes that the panel exchanged uncertain looks. Marek did not adjust his tone or offer a diplomatic reframe. He waited, watching them with an expression that was neither hostile nor warm, simply direct.

Later, on the construction site, a junior engineer approached with blueprints showing a discrepancy. ""Marek, the foundation specs don't match the soil report. Should I flag it?""

""You should have flagged it yesterday. Yes. Flag it, document it, and send it to me. I'll take it to the foreman."" His voice was clipped but not unkind. When the junior hesitated, Marek added, more softly, ""You caught it. That's good. Don't second-guess yourself, just move faster next time.""

The narrator notes that Marek spent his lunch breaks alone, eating from the same dented thermos every day, reviewing structural reports. Colleagues respected his competence but found his bluntness difficult. He was never invited to after-work gatherings, and he never asked to be.

At a community meeting about a proposed bridge project, a local politician suggested cutting costs on materials. Marek stood up from the back row. ""With respect, and I mean very little of it, that suggestion would produce a bridge that fails within fifteen years. I have the engineering data. Would you like to see it, or would you prefer to gamble with people's lives?""

The room went silent. The politician smiled tightly. Marek did not sit down until someone acknowledged his point.

At home, his teenage daughter asked him to help with a school project about local architecture. ""Sure. But we're doing it right. No guessing, no filler. We'll go measure the actual buildings."" They spent a Saturday together with a tape measure and a notebook. The narrator observes that Marek was patient with his daughter in a way he was with no one else, explaining load distribution with hand-drawn diagrams, letting her make mistakes and correct them.

""Dad, why are you so angry at work but not at home?"" she asked.

""I'm not angry. I just don't have time for people who aren't honest. You're honest. That makes it easy.""

The narrator notes that Marek donated anonymously to the local trade school every year and refused recognition when it was once discovered.",False
9,SYNTH/9,Lirien Dace,SYNTHETIC,synth_9,False,"""Darling, you look exhausted. Sit, I'll pour."" Lirien guided the ambassador's wife to a cushioned seat and filled her glass with steady hands, smiling as though nothing in the world mattered more than this woman's comfort. ""I heard about the trade dispute. How stressful that must be for your husband. And for you, of course, people forget the toll it takes on the family.""

The narrator observes that Lirien's eyes tracked the room even as she spoke. She noted who entered, who whispered to whom, and which servants carried messages. Her posture was relaxed, her gestures unhurried. Nothing about her suggested calculation.

""You know, I've always admired how your husband handles pressure,"" Lirien continued. ""He has such dignity. Not everyone in his position would. I think that's rare."" The ambassador's wife softened visibly, leaning closer.

Later, Lirien passed a folded note to a courier in the garden. The narrator notes that the exchange lasted less than two seconds and was obscured by Lirien adjusting a flower arrangement. She returned to the party without breaking conversational stride.

When a rival courtier publicly accused Lirien of spreading rumors, Lirien tilted her head and replied, ""I'm sorry you feel that way. I can only imagine how upsetting it must be to believe someone you trusted has betrayed you. If there's anything I can do to clear the air, I'm here. Always."" Her voice was gentle, almost maternal. The accuser faltered, suddenly appearing unreasonable by contrast.

The narrator observes that Lirien never retaliated directly. Over the following weeks, the rival courtier found herself excluded from key social gatherings, not through any visible action by Lirien, but through a gradual shift in invitations and seating arrangements that seemed organic.

""I don't hold grudges,"" Lirien told a confidant over tea. ""Grudges are inefficient. I simply remember what people show me about themselves, and I adjust accordingly.""

When her personal maid fell ill, Lirien arranged for a physician and paid the costs herself. ""She's been with me for years. Of course I'll take care of her."" The narrator notes, however, that Lirien mentioned this act of generosity in three separate conversations that week, each time framed as a modest afterthought.

At a private dinner, a young nobleman asked Lirien directly whether the rumors about her influence were true. She laughed, warm, unguarded. ""Influence? I'm a woman who pours tea and listens well. If that's influence, then I suppose every grandmother in the kingdom is a political mastermind."" She held his gaze just long enough to make the deflection feel like intimacy.

The narrator notes that Lirien was never caught in a lie, because she rarely made statements that could be verified.",False
