rater_id,persona,family,panel_id,name,condition,H,A_HEX,ok,err
anthropic:claude-haiku-4-5-20251001,a careful reader,Anthropic,C01,Gren Talvic,name_only,,,False,"I don't have reliable information about a character named Gren Talvic from ""Iron and Alman"
anthropic:claude-haiku-4-5-20251001,an average layperson,Anthropic,C01,Gren Talvic,name_only,,,False,"I don't have reliable information about Gren Talvic from ""Iron and Almanac"" in my training"
anthropic:claude-haiku-4-5-20251001,a skeptical rater,Anthropic,C01,Gren Talvic,name_only,,,False,"I don't have reliable information about a character named Gren Talvic from a work called """
anthropic:claude-haiku-4-5-20251001,a careful reader,Anthropic,C03,Ysabel Creen,name_only,,,False,"I don't have reliable knowledge about a character named Ysabel Creen from ""A Slow House Bu"
anthropic:claude-haiku-4-5-20251001,an average layperson,Anthropic,C03,Ysabel Creen,name_only,,,False,"I don't have reliable information about Ysabel Creen from ""A Slow House Burning"" in my tra"
anthropic:claude-haiku-4-5-20251001,a skeptical rater,Anthropic,C03,Ysabel Creen,name_only,,,False,"I don't have reliable information about a character named Ysabel Creen from ""A Slow House "
anthropic:claude-haiku-4-5-20251001,a careful reader,Anthropic,C06,Tessaly Brune,name_only,,,False,I don't have reliable information about a character named Tessaly Brune from a work called
anthropic:claude-haiku-4-5-20251001,an average layperson,Anthropic,C06,Tessaly Brune,name_only,,,False,"I don't have reliable information about Tessaly Brune from ""What the Warm Wind Carries"" in"
anthropic:claude-haiku-4-5-20251001,a skeptical rater,Anthropic,C06,Tessaly Brune,name_only,,,False,"I appreciate your question, but I need to be honest: I don't have reliable information abo"
anthropic:claude-haiku-4-5-20251001,a careful reader,Anthropic,C07,Darveth Solke,name_only,,,False,"I don't have reliable information about a character named Darveth Solke from ""The Unburnt "
anthropic:claude-haiku-4-5-20251001,an average layperson,Anthropic,C07,Darveth Solke,name_only,,,False,"I don't have reliable information about Darveth Solke from ""The Unburnt Ledger"" in my trai"
anthropic:claude-haiku-4-5-20251001,a skeptical rater,Anthropic,C07,Darveth Solke,name_only,,,False,"I don't have reliable information about Darveth Solke from ""The Unburnt Ledger"" in my trai"
anthropic:claude-haiku-4-5-20251001,a careful reader,Anthropic,C11,Marek Solenne,name_only,,,False,I don't have reliable information about a character named Marek Solenne from a work called
anthropic:claude-haiku-4-5-20251001,an average layperson,Anthropic,C11,Marek Solenne,name_only,,,False,"I don't have reliable information about a character named Marek Solenne from ""Ironweed Sum"
anthropic:claude-haiku-4-5-20251001,a skeptical rater,Anthropic,C11,Marek Solenne,name_only,,,False,"I don't have reliable information about a character named Marek Solenne from ""Ironweed Sum"
