slot,model,n_canon,abs_r_canon,n_synth,abs_r_synth,delta_synth_minus_canon
anthropic_1,claude-opus-4-6,60,0.711860085859797,22,0.08536890131532701,-0.62649118454447
anthropic_2,claude-sonnet-4-5-20250929,59,0.7774383123414723,22,0.26799621976794463,-0.5094420925735277
anthropic_3,claude-sonnet-4-20250514,60,0.7956208819245063,22,0.2526409044071877,-0.5429799775173185
anthropic_4,claude-haiku-4-5-20251001,60,0.7893187327951271,22,0.5671764207057992,-0.2221423120893279
openai_1,gpt-5.2-2025-12-11,60,0.8057855396396603,22,0.24803556295832901,-0.5577499766813312
openai_2,gpt-5,53,0.7326564830011397,22,0.006868569886236103,-0.7257879131149036
openai_3,o4-mini,60,0.7261607104090958,22,0.3594596979528811,-0.3667010124562147
openai_4,gpt-4o-2024-08-06,60,0.919935579764287,22,0.6233772758713089,-0.2965583038929781
openai_5,gpt-4o-2024-05-13,60,0.9178979400049583,22,0.40161451074194143,-0.5162834292630168
google_1,gemini-3.1-pro-preview,60,0.5742933841116765,22,0.20031893309230414,-0.3739744510193724
google_2,gemini-3-pro-preview,60,0.5731901315801182,22,0.18170673136142418,-0.39148340021869404
google_3,gemini-2.5-pro,60,0.6449978584858036,22,0.021843961080650433,-0.6231538974051531
google_4,gemini-2.5-flash,60,0.552686299408071,22,0.08896113279351528,-0.46372516661455576
google_5,gemini-2.5-flash-lite,60,0.7421130563655924,22,0.6511270080665021,-0.0909860482990903
xai_1,x-ai/grok-4.3,60,0.6665982449522224,20,0.14793870109816715,-0.5186595438540553
xai_2,x-ai/grok-4.3,59,0.646615729110678,22,0.10852929240017373,-0.5380864367105043
cohere_1,cohere/command-a-03-2025,60,0.71903718273959,22,0.5291435226066245,-0.1898936601329656
meta_1,meta-llama/llama-4-maverick,60,0.8934253666026738,22,0.5457176902454727,-0.3477076763572011
meta_2,meta-llama/llama-3.3-70b-instruct,59,0.96609033325776,14,0.429875206204972,-0.536215127052788
meta_3,meta-llama/llama-3.1-70b-instruct,60,0.9067263761652816,22,0.37824411212559034,-0.5284822640396913
qwen_1,qwen/qwen-2.5-72b-instruct,60,0.8063155779689031,22,0.5393154326175965,-0.26700014535130656
qwen_2,qwen/qwen3-32b,56,0.6461965282168235,19,0.37887127715254537,-0.2673252510642781
deepseek_1,deepseek/deepseek-chat-v3.1,60,0.6784899656230338,22,0.16093457307225353,-0.5175553925507802
deepseek_2,deepseek/deepseek-r1,55,0.7774095965618394,17,0.09688679006020207,-0.6805228065016373
mistral_1,mistralai/mistral-large-2411,60,0.7649514166580534,20,0.1527532506411713,-0.6121981660168822
gemma_1,google/gemma-4-26b-a4b-it-20260403,60,0.6989544996957751,20,0.2901557597893285,-0.40879873990644655
